"Row_Index","Variable","Cook_Distance","Influential","Decision"
9,"tumor_size",0.000282048319434051,"No","Retain"
53,"tumor_size",0.00197903719855724,"Yes","Consider Removal"
54,"tumor_size",7.33615116983304e-05,"No","Retain"
64,"tumor_size",0.000138381632086794,"No","Retain"
71,"tumor_size",0.00526796530689064,"Yes","Consider Removal"
87,"tumor_size",0.00157535266745155,"Yes","Consider Removal"
88,"tumor_size",0.000403063306175267,"No","Retain"
117,"tumor_size",0.000569453931926005,"No","Retain"
148,"tumor_size",6.05983644194686e-05,"No","Retain"
156,"tumor_size",0.00133418898478396,"Yes","Consider Removal"
185,"tumor_size",0.000967887266214283,"No","Retain"
195,"tumor_size",2.41210026915046e-05,"No","Retain"
211,"tumor_size",7.77379431033117e-05,"No","Retain"
216,"tumor_size",0.00695872837273425,"Yes","Consider Removal"
220,"tumor_size",0.00268158959268861,"Yes","Consider Removal"
221,"tumor_size",0.00221618753290489,"Yes","Consider Removal"
239,"tumor_size",0.0155874099331898,"Yes","Consider Removal"
255,"tumor_size",8.07322698635895e-05,"No","Retain"
277,"tumor_size",0.000160097587920516,"No","Retain"
278,"tumor_size",0.0103002946515978,"Yes","Consider Removal"
290,"tumor_size",2.69418218730522e-05,"No","Retain"
306,"tumor_size",0.00181829810885497,"Yes","Consider Removal"
317,"tumor_size",1.00746189409237e-05,"No","Retain"
319,"tumor_size",3.80618677094869e-07,"No","Retain"
323,"tumor_size",1.00746189409237e-05,"No","Retain"
338,"tumor_size",8.63344715470778e-05,"No","Retain"
363,"tumor_size",0.000197122159498331,"No","Retain"
368,"tumor_size",0.00139833432906849,"Yes","Consider Removal"
372,"tumor_size",0.000398364588745378,"No","Retain"
377,"tumor_size",8.03894198214005e-07,"No","Retain"
380,"tumor_size",0.00136244524952958,"Yes","Consider Removal"
402,"tumor_size",0.000426599534297175,"No","Retain"
427,"tumor_size",0.000712351354588448,"No","Retain"
442,"tumor_size",0.000942861405995144,"No","Retain"
448,"tumor_size",0.00117618379560247,"Yes","Consider Removal"
477,"tumor_size",3.46999893600477e-05,"No","Retain"
481,"tumor_size",0.00179866313404161,"Yes","Consider Removal"
484,"tumor_size",0.000139947108147434,"No","Retain"
526,"tumor_size",0.000945441355604397,"No","Retain"
527,"tumor_size",0.00187746017843157,"Yes","Consider Removal"
541,"tumor_size",0.000129558530460148,"No","Retain"
565,"tumor_size",0.00102765314879116,"Yes","Consider Removal"
586,"tumor_size",0.00122491181860601,"Yes","Consider Removal"
594,"tumor_size",0.000201531082206085,"No","Retain"
603,"tumor_size",0.000321832957790982,"No","Retain"
631,"tumor_size",0.000779632404483576,"No","Retain"
692,"tumor_size",0.000121511436851021,"No","Retain"
706,"tumor_size",1.68924466104371e-05,"No","Retain"
714,"tumor_size",0.000434197458267528,"No","Retain"
741,"tumor_size",0.000158998328859502,"No","Retain"
748,"tumor_size",0.000103994562728128,"No","Retain"
770,"tumor_size",0.00131175626350273,"Yes","Consider Removal"
829,"tumor_size",0.000223927202120348,"No","Retain"
875,"tumor_size",0.000954392095197318,"No","Retain"
878,"tumor_size",0.000614546815388018,"No","Retain"
890,"tumor_size",0.00291123193105959,"Yes","Consider Removal"
894,"tumor_size",0.000285681060408162,"No","Retain"
895,"tumor_size",6.97834790146953e-05,"No","Retain"
898,"tumor_size",0.00354010050508328,"Yes","Consider Removal"
907,"tumor_size",0.00168860288284529,"Yes","Consider Removal"
910,"tumor_size",8.63344715470778e-05,"No","Retain"
923,"tumor_size",0.00437071773048244,"Yes","Consider Removal"
938,"tumor_size",0.00239864911773323,"Yes","Consider Removal"
939,"tumor_size",0.00116830100752865,"Yes","Consider Removal"
972,"tumor_size",2.32925775658554e-08,"No","Retain"
986,"tumor_size",0.000910303892610659,"No","Retain"
1008,"tumor_size",7.0906858291652e-05,"No","Retain"
1096,"tumor_size",2.2442167700123e-05,"No","Retain"
1123,"tumor_size",6.56140544828717e-05,"No","Retain"
1160,"tumor_size",0.000114320679756281,"No","Retain"
1162,"tumor_size",0.000121511436851021,"No","Retain"
1194,"tumor_size",0.00167525997364172,"Yes","Consider Removal"
1197,"tumor_size",0.00157535266745155,"Yes","Consider Removal"
1226,"tumor_size",2.32732003336467e-05,"No","Retain"
1273,"tumor_size",0.000147519857338056,"No","Retain"
1290,"tumor_size",0.000919323078560942,"No","Retain"
1317,"tumor_size",0.0113666856694217,"Yes","Consider Removal"
1322,"tumor_size",0.000164104875550682,"No","Retain"
1347,"tumor_size",0.00163357437342114,"Yes","Consider Removal"
1356,"tumor_size",0.000139947108147434,"No","Retain"
